"","Sensor","AvgKappa","MedKappa"
"1","Sentinel-2",0.849430878194079,0.858860569534507
"2","Worldview-3",0.853253024983328,0.845429501145826
"3","RapidEye",0.783258774891977,0.826904457627916
"4","Parrot_Sequoia",0.784591751092388,0.821731320225406
"5","Worldview-2",0.840482985953404,0.820145770375081
"6","Kompsat_2,_3_and_3A",0.778825990353386,0.808311567717722
"7","RedEdgeMx",0.767042595617086,0.794381538717834
"8","SPOT_6_and_7",0.75683477549163,0.790601845688413
"9","Ikonos",0.753384820636173,0.790231119899061
"10","Landsat-8",0.757352356527323,0.78855848281944
"11","Planet_-_Dove_1_to_4",0.771909690298177,0.78847922997396
"12","Geoeye_1",0.749369483675267,0.786116863433685
